config,model,mae,rmse,epochs,window,hidden_size,lr,batch_size
btc_only,LSTM,0.038152588624018956,0.052207605351329116,5,3,32,0.001,8
btc_only,LSTM_Attn,0.03787305420381283,0.051958575384922275,5,3,32,0.001,8
btc_only,GRU,0.038086930720704126,0.05210136469037066,5,3,32,0.001,8
btc_only,CNN,0.043526749263430475,0.05877476799634414,5,3,32,0.001,8
btc_only,LSTM,0.03817441922481573,0.052248897106434634,5,3,32,0.001,16
btc_only,LSTM_Attn,0.03827750988071382,0.052192786589185795,5,3,32,0.001,16
btc_only,GRU,0.038434310351669415,0.05219261617006706,5,3,32,0.001,16
btc_only,CNN,0.038140084539693246,0.05204639951269287,5,3,32,0.001,16
btc_only,LSTM,0.03808862143401363,0.05223124915539132,5,3,32,0.001,32
btc_only,LSTM_Attn,0.038187929540655564,0.052157279819784796,5,3,32,0.001,32
btc_only,GRU,0.03888396970792889,0.05275166953856879,5,3,32,0.001,32
btc_only,CNN,0.055310879858287025,0.07185532351331582,5,3,32,0.001,32
btc_only,LSTM,0.03794266683032214,0.05178802038244229,5,3,32,0.0005,8
btc_only,LSTM_Attn,0.03849098711428209,0.05251228694680541,5,3,32,0.0005,8
btc_only,GRU,0.03824436334230834,0.052110727037271196,5,3,32,0.0005,8
btc_only,CNN,0.04712562250378131,0.06437149370231518,5,3,32,0.0005,8
btc_only,LSTM,0.038137173619638066,0.052132304350584156,5,3,32,0.0005,16
btc_only,LSTM_Attn,0.03910324253047722,0.05304948841977579,5,3,32,0.0005,16
btc_only,GRU,0.038250992514195975,0.052211547561424,5,3,32,0.0005,16
btc_only,CNN,0.04170629437517535,0.05786528911372836,5,3,32,0.0005,16
btc_only,LSTM,0.0381429239083174,0.05224253454932478,5,3,32,0.0005,32
btc_only,LSTM_Attn,0.038228066555002695,0.05226067398567613,5,3,32,0.0005,32
btc_only,GRU,0.03789349805261269,0.05203530206899086,5,3,32,0.0005,32
btc_only,CNN,0.0489815352964161,0.06379403765758333,5,3,32,0.0005,32
btc_only,LSTM,0.03779992570400134,0.051794043634084186,5,3,64,0.001,8
btc_only,LSTM_Attn,0.038368251254170156,0.05242509004269606,5,3,64,0.001,8
btc_only,GRU,0.03756120200263523,0.05160859876125381,5,3,64,0.001,8
btc_only,CNN,0.04040839550303776,0.05502067925290979,5,3,64,0.001,8
btc_only,LSTM,0.03935388525191712,0.05320719620257252,5,3,64,0.001,16
btc_only,LSTM_Attn,0.03788919822224356,0.051969664817622975,5,3,64,0.001,16
btc_only,GRU,0.03851968025499685,0.052693795177557144,5,3,64,0.001,16
btc_only,CNN,0.04182689952070059,0.05637072386216269,5,3,64,0.001,16
btc_only,LSTM,0.03967425440831804,0.05360180146185737,5,3,64,0.001,32
btc_only,LSTM_Attn,0.038886209896671325,0.052812558824761976,5,3,64,0.001,32
btc_only,GRU,0.038528784775938844,0.052614597053442964,5,3,64,0.001,32
btc_only,CNN,0.047859432336304186,0.062236065206032476,5,3,64,0.001,32
btc_only,LSTM,0.038129433361813576,0.05214591512760865,5,3,64,0.0005,8
btc_only,LSTM_Attn,0.03792042514380247,0.05183046645873719,5,3,64,0.0005,8
btc_only,GRU,0.03787756741131199,0.051841830015644894,5,3,64,0.0005,8
btc_only,CNN,0.04540182419359065,0.0623340900743006,5,3,64,0.0005,8
btc_only,LSTM,0.03800415895987629,0.05208788068809582,5,3,64,0.0005,16
btc_only,LSTM_Attn,0.03843700183196803,0.05242330467417255,5,3,64,0.0005,16
btc_only,GRU,0.03799528028987966,0.051983221847356896,5,3,64,0.0005,16
btc_only,CNN,0.04838690972520105,0.06411660306125175,5,3,64,0.0005,16
btc_only,LSTM,0.038612279386777484,0.05252431747852674,5,3,64,0.0005,32
btc_only,LSTM_Attn,0.038521084170799816,0.0524466210268656,5,3,64,0.0005,32
btc_only,GRU,0.04027758071345193,0.053805165262749435,5,3,64,0.0005,32
